DATE,TOTAL_SHARES
2016-06-07 00:00:00-04:00,103952000
2016-09-07 00:00:00-04:00,103982000
2016-12-06 00:00:00-05:00,101870000
2016-12-06 00:00:00-05:00,101875000
2016-12-10 00:00:00-05:00,101870000
2017-03-27 00:00:00-04:00,101262000
2017-03-27 00:00:00-04:00,101211000
2017-04-28 00:00:00-04:00,101264000
2017-04-28 00:00:00-04:00,101262000
2017-04-28 00:00:00-04:00,101260000
2017-05-12 00:00:00-04:00,101260000
2017-05-17 00:00:00-04:00,101260000
2017-06-06 00:00:00-04:00,101264000
2017-06-06 00:00:00-04:00,101310000
2017-06-06 00:00:00-04:00,101307000
2017-09-06 00:00:00-04:00,101583000
2017-09-06 00:00:00-04:00,101871000
2017-09-06 00:00:00-04:00,101304000
2017-09-06 00:00:00-04:00,101307000
2017-09-06 00:00:00-04:00,101947000
2018-11-14 00:00:00-05:00,101947000
2018-11-16 00:00:00-05:00,101947000
2018-11-19 00:00:00-05:00,101947000
2018-11-21 00:00:00-05:00,101947000
2018-11-22 00:00:00-05:00,101947000
2018-11-26 00:00:00-05:00,101947000
2018-11-28 00:00:00-05:00,101947000
2018-11-29 00:00:00-05:00,101947000
2018-12-05 00:00:00-05:00,101947000
2018-12-06 00:00:00-05:00,101947000
2018-12-07 00:00:00-05:00,101947000
2018-12-09 00:00:00-05:00,101947000
2018-12-10 00:00:00-05:00,101947000
2018-12-11 00:00:00-05:00,101947000
2018-12-12 00:00:00-05:00,101947000
2018-12-14 00:00:00-05:00,101947000
2018-12-16 00:00:00-05:00,101947000
2018-12-17 00:00:00-05:00,101968000
2018-12-19 00:00:00-05:00,101968000
2018-12-21 00:00:00-05:00,101968000
2018-12-30 00:00:00-05:00,101968000
2019-01-05 00:00:00-05:00,101968000
2019-01-07 00:00:00-05:00,101968000
2019-01-09 00:00:00-05:00,101968000
2019-01-10 00:00:00-05:00,101968000
2019-01-12 00:00:00-05:00,101968000
2019-01-14 00:00:00-05:00,101968000
2019-01-16 00:00:00-05:00,101968000
2019-01-17 00:00:00-05:00,101968000
2019-01-20 00:00:00-05:00,101968000
2019-01-22 00:00:00-05:00,101968000
2019-01-24 00:00:00-05:00,101968000
2019-01-25 00:00:00-05:00,101968000
2019-01-28 00:00:00-05:00,101968000
2019-01-29 00:00:00-05:00,101968000
2019-01-30 00:00:00-05:00,101968000
2019-02-04 00:00:00-05:00,101968000
2019-02-07 00:00:00-05:00,101968000
2019-02-10 00:00:00-05:00,101968000
2019-02-11 00:00:00-05:00,101968000
2019-02-13 00:00:00-05:00,101968000
2019-02-14 00:00:00-05:00,101968000
2019-02-15 00:00:00-05:00,101968000
2019-02-16 00:00:00-05:00,101968000
2019-02-17 00:00:00-05:00,101968000
2019-02-19 00:00:00-05:00,101968000
2019-02-20 00:00:00-05:00,101968000
2019-02-27 00:00:00-05:00,101968000
2019-02-28 00:00:00-05:00,101968000
2019-03-07 00:00:00-05:00,101968000
2019-03-08 00:00:00-05:00,101968000
2019-03-10 00:00:00-05:00,101968000
2019-03-12 00:00:00-04:00,101968000
2019-03-14 00:00:00-04:00,101968000
2019-03-17 00:00:00-04:00,101968000
2019-03-18 00:00:00-04:00,101968000
2019-03-26 00:00:00-04:00,101968000
2019-03-29 00:00:00-04:00,101968000
2019-04-01 00:00:00-04:00,101968000
2019-04-05 00:00:00-04:00,102267000
2019-04-06 00:00:00-04:00,102267000
2019-04-09 00:00:00-04:00,102267000
2019-04-10 00:00:00-04:00,102267000
2019-04-14 00:00:00-04:00,102267000
2019-04-16 00:00:00-04:00,102267000
2019-04-17 00:00:00-04:00,102267000
2019-04-18 00:00:00-04:00,102267000
2019-04-21 00:00:00-04:00,102267000
2019-04-29 00:00:00-04:00,102267000
2019-04-30 00:00:00-04:00,102267000
2019-05-02 00:00:00-04:00,102267000
2019-05-04 00:00:00-04:00,102267000
2019-05-05 00:00:00-04:00,102267000
2019-05-09 00:00:00-04:00,102267000
2019-05-10 00:00:00-04:00,102267000
2019-05-12 00:00:00-04:00,102267000
2019-05-14 00:00:00-04:00,102267000
2019-05-19 00:00:00-04:00,102269000
2019-05-21 00:00:00-04:00,102269000
2019-05-22 00:00:00-04:00,102269000
2019-05-24 00:00:00-04:00,102269000
2019-05-28 00:00:00-04:00,102269000
2019-06-02 00:00:00-04:00,102269000
2019-06-03 00:00:00-04:00,102269000
2019-06-05 00:00:00-04:00,102269000
2019-06-10 00:00:00-04:00,102269000
2019-06-11 00:00:00-04:00,102269000
2019-06-13 00:00:00-04:00,102269000
2019-06-17 00:00:00-04:00,102349000
2019-06-18 00:00:00-04:00,102349000
2019-06-19 00:00:00-04:00,102349000
2019-06-20 00:00:00-04:00,102349000
2019-06-21 00:00:00-04:00,102349000
2019-06-22 00:00:00-04:00,102349000
2019-06-23 00:00:00-04:00,102349000
2019-06-24 00:00:00-04:00,102349000
2019-06-27 00:00:00-04:00,102269000
2019-07-16 00:00:00-04:00,102269000
2019-07-17 00:00:00-04:00,102269000
2019-07-19 00:00:00-04:00,102269000
2019-07-22 00:00:00-04:00,102269000
2019-08-13 00:00:00-04:00,102269000
2019-08-13 00:00:00-04:00,99990000
2019-08-16 00:00:00-04:00,98880496
2019-08-17 00:00:00-04:00,102269000
2019-08-27 00:00:00-04:00,102269000
2019-08-30 00:00:00-04:00,93807000
2019-09-03 00:00:00-04:00,99950496
2019-09-04 00:00:00-04:00,102269000
2019-09-07 00:00:00-04:00,95982896
2019-09-10 00:00:00-04:00,94201296
2019-09-11 00:00:00-04:00,85295696
2019-09-12 00:00:00-04:00,92222896
2019-09-12 00:00:00-04:00,102269000
2019-09-15 00:00:00-04:00,90457600
2019-09-20 00:00:00-04:00,87311200
2019-09-21 00:00:00-04:00,90457600
2019-10-24 00:00:00-04:00,91023800
2019-10-25 00:00:00-04:00,90457600
2019-11-05 00:00:00-05:00,84261904
2019-11-07 00:00:00-05:00,91385400
2019-11-09 00:00:00-05:00,90457600
2019-11-09 00:00:00-05:00,96178800
2019-11-14 00:00:00-05:00,90763200
2019-11-15 00:00:00-05:00,91066704
2019-11-16 00:00:00-05:00,90457600
2019-12-09 00:00:00-05:00,94415104
2019-12-10 00:00:00-05:00,90457600
2019-12-13 00:00:00-05:00,65922300
2019-12-18 00:00:00-05:00,72634400
2019-12-19 00:00:00-05:00,65922300
2020-02-07 00:00:00-05:00,65291400
2020-02-09 00:00:00-05:00,65922300
2020-02-12 00:00:00-05:00,67260800
2020-02-13 00:00:00-05:00,70105200
2020-02-16 00:00:00-05:00,65922300
2020-03-06 00:00:00-05:00,62759300
2020-03-07 00:00:00-05:00,65922300
2020-03-31 00:00:00-04:00,64458000
2020-04-15 00:00:00-04:00,64458000
2020-04-29 00:00:00-04:00,64582000
2020-06-11 00:00:00-04:00,64758900
2020-08-01 00:00:00-04:00,64758900
2020-08-03 00:00:00-04:00,64758900
2020-08-28 00:00:00-04:00,64758900
2020-09-05 00:00:00-04:00,64758900
2020-09-09 00:00:00-04:00,64758900
2020-09-10 00:00:00-04:00,64758900
2020-09-11 00:00:00-04:00,64758900
2020-11-26 00:00:00-05:00,65161600
2020-12-10 00:00:00-05:00,69747000
2021-03-17 00:00:00-04:00,69747000
2021-03-25 00:00:00-04:00,69935800
2021-04-07 00:00:00-04:00,70031600
2021-04-23 00:00:00-04:00,73432000
2021-04-24 00:00:00-04:00,73427200
2021-04-27 00:00:00-04:00,73427200
2021-04-28 00:00:00-04:00,70771800
2021-05-25 00:00:00-04:00,69505800
2021-05-25 00:00:00-04:00,70771800
2021-06-11 00:00:00-04:00,71815104
2021-06-14 00:00:00-04:00,71815104
2021-06-16 00:00:00-04:00,69379200
2021-06-24 00:00:00-04:00,70800000
2021-06-26 00:00:00-04:00,71746200
2021-06-28 00:00:00-04:00,70800000
2021-07-01 00:00:00-04:00,74379200
2021-09-10 00:00:00-04:00,76491504
2021-09-14 00:00:00-04:00,76491504
2021-10-21 00:00:00-04:00,77432496
2021-10-22 00:00:00-04:00,76491504
2021-12-02 00:00:00-05:00,83454200
2021-12-03 00:00:00-05:00,76491504
2021-12-10 00:00:00-05:00,76350800
2022-02-12 00:00:00-05:00,76350800
2022-03-15 00:00:00-04:00,90602400
2022-03-16 00:00:00-04:00,85635904
2022-03-18 00:00:00-04:00,80695000
2022-03-20 00:00:00-04:00,76350800
2022-03-21 00:00:00-04:00,76339200
2022-04-23 00:00:00-04:00,76339200
2022-04-23 00:00:00-04:00,78183904
2022-04-26 00:00:00-04:00,76339000
2022-06-03 00:00:00-04:00,76129000
2022-07-22 00:00:00-04:00,304516000
2022-07-29 00:00:00-04:00,305056992
2022-07-30 00:00:00-04:00,304516000
2022-09-14 00:00:00-04:00,304529984
2022-10-21 00:00:00-04:00,306152000
2022-10-22 00:00:00-04:00,304529984
2022-12-09 00:00:00-05:00,304577984
2023-03-08 00:00:00-05:00,314528000
2023-03-10 00:00:00-05:00,304577984
2023-03-18 00:00:00-04:00,307513984
2023-03-22 00:00:00-04:00,304577984
2023-03-24 00:00:00-04:00,321979008
2023-03-25 00:00:00-04:00,304577984
2023-03-28 00:00:00-04:00,317556000
2023-03-28 00:00:00-04:00,304577984
2023-03-30 00:00:00-04:00,304675008
2023-04-06 00:00:00-04:00,308540992
2023-04-07 00:00:00-04:00,304675008
2023-05-05 00:00:00-04:00,304716992
2023-05-15 00:00:00-04:00,305748000
2023-05-17 00:00:00-04:00,304716992
2023-06-09 00:00:00-04:00,304751008
2023-07-12 00:00:00-04:00,309540992
2023-07-13 00:00:00-04:00,304751008
2023-07-19 00:00:00-04:00,308223008
2023-07-20 00:00:00-04:00,304751008
2023-08-22 00:00:00-04:00,304751008
2023-08-23 00:00:00-04:00,326292000
2023-08-24 00:00:00-04:00,333440000
2023-08-25 00:00:00-04:00,304751008
2023-09-11 00:00:00-04:00,305240992
2023-09-29 00:00:00-04:00,310860000
2023-09-30 00:00:00-04:00,305240992
2023-10-23 00:00:00-04:00,305240992
2023-10-25 00:00:00-04:00,305240992
2023-10-27 00:00:00-04:00,305240992
2023-11-02 00:00:00-04:00,305240992
2023-11-03 00:00:00-04:00,305240992
2023-11-04 00:00:00-04:00,305240992
2023-11-08 00:00:00-05:00,305240992
2023-11-09 00:00:00-05:00,305240992
2023-11-09 00:00:00-05:00,310988000
2023-11-10 00:00:00-05:00,305240992
2023-11-14 00:00:00-05:00,305240992
2023-11-15 00:00:00-05:00,305240992
2023-11-16 00:00:00-05:00,305240992
2023-11-17 00:00:00-05:00,305240992
2023-11-21 00:00:00-05:00,305240992
2023-11-22 00:00:00-05:00,305240992
2023-11-23 00:00:00-05:00,305240992
2023-11-25 00:00:00-05:00,305240992
2023-11-29 00:00:00-05:00,305240992
2023-11-30 00:00:00-05:00,305240992
2023-12-02 00:00:00-05:00,305240992
2023-12-06 00:00:00-05:00,305240992
2023-12-06 00:00:00-05:00,347619008
2023-12-07 00:00:00-05:00,305240992
2023-12-08 00:00:00-05:00,305240992
2023-12-09 00:00:00-05:00,305513984
2023-12-16 00:00:00-05:00,305513984
2023-12-22 00:00:00-05:00,305513984
2023-12-23 00:00:00-05:00,305694016
2023-12-26 00:00:00-05:00,305513984
2023-12-27 00:00:00-05:00,305513984
2023-12-28 00:00:00-05:00,305513984
2023-12-29 00:00:00-05:00,305513984
2023-12-30 00:00:00-05:00,305513984
2024-01-03 00:00:00-05:00,305513984
2024-01-05 00:00:00-05:00,305513984
2024-01-05 00:00:00-05:00,311676992
2024-01-09 00:00:00-05:00,305513984
2024-01-10 00:00:00-05:00,305513984
2024-01-11 00:00:00-05:00,305513984
2024-01-13 00:00:00-05:00,305513984
2024-01-17 00:00:00-05:00,305513984
2024-01-18 00:00:00-05:00,305513984
2024-01-20 00:00:00-05:00,305513984
2024-01-25 00:00:00-05:00,305513984
2024-01-26 00:00:00-05:00,305513984
2024-01-27 00:00:00-05:00,305513984
2024-01-30 00:00:00-05:00,305513984
2024-01-31 00:00:00-05:00,305513984
2024-02-03 00:00:00-05:00,305513984
2024-02-08 00:00:00-05:00,305513984
2024-02-13 00:00:00-05:00,305513984
2024-02-15 00:00:00-05:00,305513984
2024-02-16 00:00:00-05:00,305513984
2024-02-21 00:00:00-05:00,305513984
2024-02-24 00:00:00-05:00,305513984
2024-02-27 00:00:00-05:00,305513984
2024-02-29 00:00:00-05:00,305513984
2024-03-01 00:00:00-05:00,305513984
2024-03-07 00:00:00-05:00,305513984
2024-03-12 00:00:00-04:00,305513984
2024-03-12 00:00:00-04:00,310172000
2024-03-13 00:00:00-04:00,305513984
2024-03-14 00:00:00-04:00,305513984
2024-03-16 00:00:00-04:00,305513984
2024-03-16 00:00:00-04:00,313881984
2024-03-20 00:00:00-04:00,305513984
2024-03-22 00:00:00-04:00,305513984
2024-03-26 00:00:00-04:00,305513984
2024-03-27 00:00:00-04:00,305513984
2024-03-28 00:00:00-04:00,321752992
2024-03-28 00:00:00-04:00,305872992
2024-03-29 00:00:00-04:00,305872992
2024-04-09 00:00:00-04:00,317735008
2024-04-09 00:00:00-04:00,305872992
2024-04-16 00:00:00-04:00,327460992
2024-04-16 00:00:00-04:00,305872992
2024-04-30 00:00:00-04:00,322400000
2024-04-30 00:00:00-04:00,305872992
2024-05-02 00:00:00-04:00,306184992
2024-05-03 00:00:00-04:00,306184992
2024-05-04 00:00:00-04:00,306184992
2024-05-06 00:00:00-04:00,309188992
2024-05-07 00:00:00-04:00,306184992
2024-05-09 00:00:00-04:00,306184992
2024-05-10 00:00:00-04:00,306184992
2024-05-11 00:00:00-04:00,315830016
2024-05-11 00:00:00-04:00,306184992
2024-05-14 00:00:00-04:00,306184992
2024-05-16 00:00:00-04:00,306184992
2024-05-17 00:00:00-04:00,306184992
2024-05-17 00:00:00-04:00,437644000
2024-05-21 00:00:00-04:00,306187008
2024-05-21 00:00:00-04:00,320305984
2024-05-22 00:00:00-04:00,306187008
2024-05-23 00:00:00-04:00,306187008
2024-05-23 00:00:00-04:00,320684000
2024-05-24 00:00:00-04:00,306187008
2024-05-24 00:00:00-04:00,352984000
2024-05-25 00:00:00-04:00,306187008
2024-05-28 00:00:00-04:00,351187008
2024-05-30 00:00:00-04:00,351187008
2024-05-31 00:00:00-04:00,351187008
2024-06-04 00:00:00-04:00,351187008
2024-06-05 00:00:00-04:00,351187008
2024-06-07 00:00:00-04:00,351187008
2024-06-11 00:00:00-04:00,351217984
2024-06-13 00:00:00-04:00,426217984
2024-06-13 00:00:00-04:00,420606016
2024-06-14 00:00:00-04:00,426217984
2024-06-15 00:00:00-04:00,426217984
2024-06-21 00:00:00-04:00,426217984
2024-06-22 00:00:00-04:00,426217984
2024-06-25 00:00:00-04:00,426217984
2024-06-26 00:00:00-04:00,426217984
2024-06-27 00:00:00-04:00,426217984
2024-06-28 00:00:00-04:00,426217984
2024-07-03 00:00:00-04:00,426217984
2024-07-04 00:00:00-04:00,426217984
2024-07-09 00:00:00-04:00,426217984
2024-07-10 00:00:00-04:00,426217984
2024-07-12 00:00:00-04:00,426217984
2024-07-13 00:00:00-04:00,426217984
2024-07-16 00:00:00-04:00,426217984
2024-07-18 00:00:00-04:00,426217984
2024-07-18 00:00:00-04:00,434748000
2024-07-20 00:00:00-04:00,426217984
2024-07-23 00:00:00-04:00,426217984
2024-07-24 00:00:00-04:00,426217984
2024-07-25 00:00:00-04:00,426217984
2024-07-25 00:00:00-04:00,427284992
2024-07-26 00:00:00-04:00,426217984
2024-07-31 00:00:00-04:00,426217984
2024-08-01 00:00:00-04:00,426217984
2024-08-07 00:00:00-04:00,426217984
2024-08-08 00:00:00-04:00,426217984
2024-08-09 00:00:00-04:00,426217984
2024-08-10 00:00:00-04:00,426217984
2024-08-13 00:00:00-04:00,426217984
2024-08-13 00:00:00-04:00,427192000
2024-08-16 00:00:00-04:00,426217984
2024-08-17 00:00:00-04:00,426217984
2024-08-17 00:00:00-04:00,428691008
2024-08-20 00:00:00-04:00,426217984
2024-08-21 00:00:00-04:00,426217984
2024-08-22 00:00:00-04:00,426217984
2024-08-24 00:00:00-04:00,426217984
2024-08-27 00:00:00-04:00,426217984
2024-08-27 00:00:00-04:00,443177984
2024-08-28 00:00:00-04:00,426217984
2024-08-29 00:00:00-04:00,426217984
2024-08-29 00:00:00-04:00,444208992
2024-08-30 00:00:00-04:00,426217984
2024-08-31 00:00:00-04:00,426217984
2024-09-06 00:00:00-04:00,426217984
2024-09-07 00:00:00-04:00,426217984
2024-09-10 00:00:00-04:00,426217984
2024-09-11 00:00:00-04:00,426217984
2024-09-11 00:00:00-04:00,440758016
2024-09-12 00:00:00-04:00,484244000
2024-09-12 00:00:00-04:00,426510016
2024-09-16 00:00:00-04:00,438398016
2024-09-17 00:00:00-04:00,426510016
2024-09-18 00:00:00-04:00,426510016
2024-09-21 00:00:00-04:00,426510016
2024-09-24 00:00:00-04:00,426510016
2024-09-25 00:00:00-04:00,446510016
2024-09-28 00:00:00-04:00,446510016
2024-10-01 00:00:00-04:00,446510016
2024-10-02 00:00:00-04:00,446510016
2024-10-05 00:00:00-04:00,446510016
2024-10-09 00:00:00-04:00,446510016
2024-10-11 00:00:00-04:00,446510016
2024-10-12 00:00:00-04:00,448224000
2024-10-12 00:00:00-04:00,446510016
2024-10-16 00:00:00-04:00,446510016
2024-10-18 00:00:00-04:00,446510016
2024-10-19 00:00:00-04:00,446510016
